iter	Passed	Remaining
0	11	5693
1	20	5151
2	30	5045
3	40	5063
4	50	5035
5	62	5107
6	72	5073
7	81	5024
8	92	5030
9	101	4965
10	110	4925
11	121	4933
12	141	5291
13	150	5235
14	162	5256
15	172	5215
16	183	5210
17	192	5147
18	199	5060
19	209	5031
20	217	4961
21	226	4919
22	233	4849
23	242	4806
24	250	4763
25	261	4761
26	269	4723
27	277	4674
28	287	4666
29	295	4632
30	307	4650
31	319	4671
32	328	4648
33	339	4657
34	350	4651
35	358	4620
36	367	4597
37	376	4576
38	386	4562
39	395	4542
40	404	4532
41	413	4514
42	422	4495
43	432	4483
44	440	4456
45	449	4440
46	457	4408
47	466	4389
48	473	4356
49	482	4344
50	490	4314
51	498	4297
52	506	4270
53	515	4255
54	523	4234
55	533	4229
56	543	4222
57	551	4201
58	560	4186
59	567	4161
60	576	4147
61	583	4125
62	594	4126
63	603	4110
64	612	4097
65	620	4082
66	629	4065
67	636	4045
68	645	4030
69	654	4020
70	662	4001
71	670	3984
72	678	3968
73	685	3947
74	693	3930
75	701	3911
76	708	3894
77	716	3878
78	725	3865
79	732	3847
80	740	3832
81	749	3818
82	758	3812
83	768	3804
84	777	3795
85	784	3778
86	793	3767
87	802	3758
88	810	3743
89	820	3739
90	829	3726
91	837	3714
92	844	3696
93	852	3683
94	860	3669
95	869	3657
96	877	3646
97	886	3634
98	893	3619
99	902	3608
100	909	3593
101	917	3578
102	924	3563
103	932	3550
104	940	3536
105	947	3522
106	954	3507
107	962	3494
108	970	3483
109	978	3468
110	986	3455
111	993	3440
112	1001	3429
113	1009	3416
114	1017	3406
115	1024	3393
116	1032	3381
117	1040	3366
118	1048	3355
119	1055	3342
120	1063	3332
121	1071	3321
122	1081	3314
123	1089	3304
124	1097	3293
125	1104	3279
126	1112	3268
127	1120	3255
128	1127	3242
129	1135	3231
130	1143	3221
131	1150	3208
132	1158	3196
133	1166	3185
134	1173	3173
135	1181	3160
136	1188	3149
137	1196	3138
138	1203	3126
139	1211	3115
140	1218	3103
141	1226	3091
142	1233	3079
143	1241	3068
144	1248	3056
145	1255	3043
146	1262	3032
147	1270	3021
148	1278	3012
149	1285	3000
150	1293	2990
151	1301	2979
152	1309	2969
153	1316	2957
154	1324	2947
155	1331	2936
156	1339	2926
157	1347	2917
158	1356	2908
159	1364	2898
160	1372	2889
161	1379	2879
162	1388	2870
163	1395	2859
164	1404	2851
165	1412	2841
166	1419	2830
167	1427	2820
168	1435	2810
169	1442	2800
170	1450	2790
171	1458	2780
172	1466	2771
173	1474	2762
174	1482	2753
175	1491	2745
176	1500	2738
177	1509	2730
178	1518	2722
179	1526	2713
180	1534	2704
181	1542	2695
182	1550	2685
183	1557	2675
184	1565	2665
185	1573	2656
186	1581	2647
187	1588	2637
188	1596	2627
189	1605	2619
190	1613	2610
191	1621	2601
192	1629	2591
193	1636	2581
194	1644	2571
195	1652	2563
196	1660	2553
197	1668	2544
198	1675	2534
199	1683	2524
200	1690	2514
201	1698	2506
202	1705	2495
203	1712	2485
204	1719	2474
205	1727	2465
206	1735	2456
207	1743	2447
208	1750	2437
209	1758	2428
210	1766	2419
211	1775	2411
212	1783	2402
213	1791	2393
214	1799	2385
215	1807	2376
216	1815	2367
217	1823	2358
218	1831	2349
219	1839	2341
220	1847	2332
221	1856	2324
222	1864	2315
223	1871	2306
224	1879	2297
225	1887	2288
226	1895	2279
227	1903	2270
228	1912	2262
229	1921	2255
230	1930	2247
231	1939	2240
232	1947	2231
233	1956	2224
234	1964	2215
235	1973	2207
236	1982	2199
237	1992	2193
238	2001	2185
239	2011	2178
240	2020	2171
241	2028	2162
242	2037	2155
243	2045	2146
244	2054	2138
245	2062	2129
246	2071	2121
247	2080	2113
248	2089	2106
249	2098	2098
250	2107	2091
251	2116	2082
252	2123	2073
253	2131	2063
254	2138	2054
255	2145	2045
256	2153	2036
257	2161	2027
258	2169	2018
259	2177	2009
260	2185	2001
261	2193	1992
262	2201	1983
263	2208	1974
264	2217	1966
265	2224	1957
266	2233	1948
267	2240	1939
268	2249	1931
269	2256	1922
270	2264	1913
271	2272	1904
272	2280	1896
273	2288	1887
274	2296	1878
275	2304	1869
276	2314	1863
277	2325	1857
278	2334	1848
279	2343	1841
280	2351	1832
281	2361	1825
282	2368	1816
283	2379	1809
284	2387	1801
285	2396	1792
286	2403	1784
287	2412	1776
288	2421	1767
289	2428	1758
290	2437	1750
291	2445	1742
292	2453	1733
293	2462	1725
294	2471	1717
295	2479	1708
296	2488	1700
297	2496	1692
298	2504	1683
299	2512	1675
300	2522	1667
301	2530	1658
302	2539	1650
303	2546	1641
304	2555	1633
305	2562	1624
306	2571	1616
307	2579	1607
308	2587	1599
309	2595	1590
310	2604	1582
311	2611	1573
312	2621	1565
313	2628	1557
314	2637	1549
315	2645	1540
316	2654	1532
317	2661	1523
318	2670	1515
319	2680	1507
320	2687	1498
321	2695	1489
322	2704	1482
323	2715	1475
324	2729	1469
325	2738	1461
326	2747	1453
327	2755	1444
328	2765	1437
329	2773	1428
330	2782	1420
331	2790	1412
332	2800	1404
333	2808	1395
